County,Structural Property,Other,Convenience Store,$200 through $400,Pocket-Picking,Knife or Cutting Instrument,Bank,Aggravated Assault,Forcible Entry,Rape (Forcible Rape prior to 2014),Highway,Motor Vehicle Accessories,Robbery,Attempted Rape,Other Weapon,Hands  Fists  Feet,$50 through $199,Purse-Snatching,Mobile Property,Violent Crimes,Over $400,Non-Residence,From Motor Vehicle,Coin Operated Machine,Homicide,Commercial,Property Crimes,Automotive,Trucks and Buses,From Building,Other Property,Night,Under $50,Bicycles,Over $200,Rape,Residence,Motor Vehicle Theft,Burglary,Arson,Larceny-Theft,Shoplifting,Firearm,Unknown,Gas Station,No Force,Miscellaneous,Strong-Arm,Day
Alameda,207.0,"9,886",261.0,"4,882",852.0,462,38.0,"4,206","4,935",810,"2,501","3,698","4,817",42.0,"2,193",698,"6,017",396.0,162.0,"9,923","20,405","3,069","21,861",39.0,90.0,453,"63,861","11,174",992,"1,926",70,"1,275","13,036","2,032",0.0,768,"3,846","12,606","6,915",439,"44,340","3,650",853,949,109.0,"1,980","1,158","2,396",845
Alpine,0.0,9,0.0,5,0.0,1,0.0,13,5,0,0,2,0,0.0,3,8,1,0.0,0.0,13,11,5,9,0.0,0.0,0,32,1,0,2,0,1,5,0,0.0,0,3,2,8,0,22,0,1,4,0.0,3,0,0,0
Amador,2.0,196,0.0,69,0.0,9,0.0,99,71,9,1,23,7,0.0,15,74,77,3.0,0.0,115,144,82,78,2.0,0.0,1,649,41,10,99,3,23,146,4,0.0,9,65,66,147,5,436,31,1,17,0.0,76,2,6,42
Butte,145.0,"1,520",2.0,794,5.0,59,4.0,589,908,182,40,274,143,28.0,137,341,"1,108",14.0,4.0,921,"1,503",551,"1,333",7.0,7.0,19,"7,280",703,151,440,25,174,"1,335",489,0.0,154,"1,048",941,"1,599",174,"4,740",658,52,112,5.0,691,41,75,265
Calaveras,0.0,211,0.0,66,1.0,18,0.0,159,140,30,6,58,17,2.0,47,74,64,7.0,0.0,208,148,110,85,1.0,2.0,1,790,42,35,57,0,41,185,8,0.0,28,118,99,228,0,463,35,20,30,0.0,88,1,9,39
Colusa,2.0,79,0.0,25,0.0,2,0.0,55,83,13,3,8,9,1.0,5,46,28,2.0,0.0,78,88,68,71,1.0,1.0,0,339,20,4,12,2,28,38,2,0.0,12,53,39,121,4,179,4,2,10,2.0,38,1,7,30
Contra Costa,76.0,"3,774",111.0,"2,636",126.0,236,31.0,"1,994","2,928",294,347,"1,194","1,500",20.0,760,589,"3,759",105.0,96.0,"3,830","8,111","1,887","8,759",26.0,42.0,267,"29,735","4,829",745,"1,553",60,910,"5,222",598,0.0,274,"2,284","5,836","4,171",232,"19,728","3,593",409,467,44.0,"1,243",582,747,510
Del Norte,5.0,193,0.0,51,0.0,1,0.0,95,211,29,5,15,23,0.0,17,75,63,3.0,8.0,151,88,193,53,4.0,4.0,2,692,44,30,30,6,47,173,15,0.0,29,28,96,221,19,375,62,2,1,0.0,10,14,17,145
El Dorado,0.0,790,9.0,286,9.0,25,2.0,198,444,55,1,124,36,3.0,88,74,331,15.0,0.0,294,802,311,561,4.0,5.0,4,"2,934",156,36,177,5,193,566,72,0.0,52,400,238,711,5,"1,985",233,11,86,1.0,267,14,24,32
Fresno,136.0,"4,776",80.0,"2,370",41.0,578,8.0,"4,110","5,100",336,563,"2,471","1,214",17.0,"1,199","1,234","4,298",34.0,181.0,"5,745","6,347","2,758","6,929",34.0,85.0,206,"30,354","3,341",677,"1,570",207,"1,547","6,197",711,0.0,319,"3,999","4,385","6,757",524,"19,212","2,646","1,099",417,34.0,"1,657",161,607,794
Glenn,3.0,180,2.0,26,0.0,7,0.0,99,132,9,1,7,8,0.0,5,83,59,0.0,0.0,117,95,72,30,0.0,1.0,0,503,44,18,10,2,33,82,8,0.0,9,79,90,151,5,262,27,4,6,0.0,19,0,8,33
Humboldt,43.0,660,4.0,396,10.0,65,2.0,392,527,74,45,111,172,4.0,211,58,563,11.0,6.0,646,783,393,806,2.0,8.0,22,"4,196",641,128,154,16,140,753,194,0.0,70,481,827,874,65,"2,495",547,58,79,21.0,347,49,65,174
Imperial,22.0,"1,474",1.0,308,5.0,30,2.0,489,840,45,32,163,87,12.0,158,262,527,59.0,13.0,628,569,792,483,2.0,7.0,8,"4,836",409,53,72,45,246,"1,613",172,0.0,33,501,526,"1,293",80,"3,017",587,39,293,5.0,453,36,61,253
Inyo,2.0,100,0.0,62,3.0,15,0.0,101,58,16,3,10,11,0.0,25,54,67,3.0,1.0,128,102,66,41,2.0,0.0,1,514,42,4,61,0,27,96,50,0.0,16,65,56,131,3,327,57,7,9,0.0,73,0,10,30
Kern,316.0,"4,185",117.0,"2,159",101.0,489,10.0,"3,296","5,085",307,386,"1,523","1,297",20.0,"1,051","1,233","2,845",54.0,224.0,"4,989","5,829","3,970","6,089",97.0,89.0,238,"28,933","4,278","1,204",833,152,"1,682","4,772",392,0.0,287,"3,459","5,899","7,429",692,"15,605","2,331",523,"1,494",43.0,"2,344",360,655,794
Kings,25.0,514,8.0,263,2.0,54,2.0,553,361,88,30,134,104,10.0,140,315,427,11.0,2.0,754,584,203,506,4.0,9.0,19,"2,935",290,156,254,4,59,512,53,0.0,78,417,529,620,31,"1,786",308,44,77,9.0,259,18,62,67
